序号,分类,型号,标题,大小,分辨率,背光,类型,介质,亮度,对比度,Operating Temperature (oC),Storage Temperature (oC),应用,网址,Mass (g):,Outer Dimension (mm):,特性1,特性2
49,TFT Digital,TCG075VGLDH-G20,640X480分辨率，7.5寸，250亮度全透，LVDS工业TFT,7.5,640X480,LED,Transmissive,LVDS,250,500:01:00,-20 to 70,-30 to 80,"LED, Built-in LED Driver, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG075VGLDH-G20,,173 (W)  x 133 (H)  x 6.4 (D) ,LED driver built-in,
50,TFT Digital,TCG075VGLDA-H50,640X480分辨率，7.5寸，400亮度全透，18位RGB工业TFT,7.5,640X480,LED,Transmissive,18-bit RGB Interface,400,500:01:00,-20 to 70,-30 to 80,"LED, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG075VGLDA-H50,205,173 (W)  x 133 (H)  x 4.4 (D) ,,
51,TFT Digital,TCG084VGLACANN-AN00,640X480分辨率，8.4寸，550亮度全透，18位RGB工业TFT,8.4,640X480,LED,Transmissive,18-bit RGB Interface,550,500:01:00,-20 to 70,-30 to 80,"LED, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG084VGLACANN-AN00,300,199.5 (W)  x 147.4 (H)  x 9 (D) ,,
52,TFT Digital,TCG084VGLAAANN-AN50,640X480分辨率，8.4寸，850亮度全透，18位RGB工业TFT,8.4,640X480,LED,Transmissive,18-bit RGB Interface,850,500:01:00,-20 to 70,-30 to 80,"High Bright, LED, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG084VGLAAANN-AN50,320,199.5 (W)  x 147.4 (H)  x 9 (D) ,,
53,TFT Digital,TCG084VGLAAANN-AN00,640X480分辨率，8.4寸，450亮度全透，18位RGB工业TFT,8.4,640X480,LED,Transmissive,18-bit RGB Interface,450,500:01:00,-20 to 70,-30 to 80,"LED, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG084VGLAAANN-AN00,320,199.5 (W)  x 147.4 (H)  x 9 (D) ,,
54,TFT Digital,TCG084VGLAAAFA-AA50,640X480分辨率，8.4寸，680亮度全透，CMOS工业TFT,8.4,640X480,LED,Transmissive,CMOS,680,500:01:00,-20 to 70,-30 to 80,"LED, 4-wire resistive TTS, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG084VGLAAAFA-AA50,405,199.5 (W)  x 147.4 (H)  x 10.8 (D) ,With 4-wire resistive touch screen,
55,TFT Digital,TCG084VGLAAAFA-AA20,640X480分辨率，8.4寸，360亮度全透，CMOS工业TFT,8.4,640X480,LED,Transmissive,CMOS,360,500:01:00,-20 to 70,-30 to 80,"LED, 4-wire resistive TTS, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG084VGLAAAFA-AA20,405,199.5 (W)  x 147.4 (H)  x 10.8 (D) ,4-wire resistive touch screen,With built-in constant current circuit for LED backlight
56,Automotive TFT,TCG084VGLAAAFA-AA00,640X480分辨率，8.4寸，360亮度全透，CMOS工业TFT,8.4,640X480,LED,Transmissive,CMOS,360,500:01:00,-20 to 70,-30 to 80,"LED, 4-wire resistive TTS, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG084VGLAAAFA-AA00,400,199.5 (W)  x 147.4 (H)  x 10.8 (D) ,4-wire resistive touch,
57,TFT Digital,TCG084SVLQAPNN-AN20,800X600分辨率，8.4寸，400亮度全透，LVDS工业TFT,8.4,800X600,LED,Transmissive,LVDS,400,500:01:00,-20 to 70,-30 to 80,"LED, Advanced-Wide-View, Built-in LED Driver, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG084SVLQAPNN-AN20,315,199.5 (W)  x 147.4 (H)  x 9 (D) ,AWV Technology for wide viewing angle ( 85/85/85/85),Built-in LED driver
58,TFT Digital,TCG084SVLQAPFA-AA20,800X600分辨率，8.4寸，320亮度全透，LVDS工业TFT,8.4,800X600,LED,Transmissive,LVDS,320,500:01:00,-20 to 70,-30 to 80,"LED, 4-wire resistive TTS, Advanced-Wide-View, Built-in LED Driver, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG084SVLQAPFA-AA20,400,199.5 (W)  x 147.4 (H)  x 10.8 (D) ,With 4-wire resistive touch screen,With constant current circuit for LED Backlight
59,TFT Digital,TCG084SVLPAANN-AN30,800X600分辨率，8.4寸，750亮度全透，LVDS工业TFT,8.4,800X600,LED,Transmissive,LVDS,750,800:01:00,-20 to 70,-30 to 80,"High Bright, LED, Built-in LED Driver, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG084SVLPAANN-AN30,330,199.5 (W)  x 147.4 (H)  x 9 (D) ,High brightness (750nits),Built-in LED driver
60,TFT Digital,TCG084SVLPAANN-AN20,800X600分辨率，8.4寸，400亮度全透，LVDS工业TFT,8.4,800X600,LED,Transmissive,LVDS,400,800:01:00,-20 to 70,-30 to 80,"LED, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG084SVLPAANN-AN20,315,199.5 (W)  x 147.4 (H)  x 9 (D) ,,
61,TFT Digital,TCG084SVLPAAFA-AA20,800X600分辨率，8.4寸，320亮度全透，LVDS工业TFT,8.4,800X600,LED,Transmissive,LVDS,320,500:01:00,-20 to 70,-30 to 80,"LED, 4-wire resistive TTS, Built-in LED Driver, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG084SVLPAAFA-AA20,400,199.5 (W)  x 147.4 (H)  x 10.8 (D) ,4-wire resistive touch screen,with built-in constant current circuit for LED backlight
62,TFT Digital,T-55786GD084J-LW-AHN,800X600分辨率，8.4寸，1200高亮度全透，LVDS工业TFT,8.4,800X600,LED,Transmissive,LVDS,1200,750:01:00,-30 to 80,-30 to 80,"LED, Super High Bright, Advanced-Wide-View, Built-in LED Driver, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=T-55786GD084J-LW-AHN,390,199.5 (W)  x 149.0 (H)  x 11.5 (D) ,Advanced Wide View Technology (85/85/85/85),Super High Brightness for outdoor application.
63,TFT Digital,T-55786GD084J-LW-AGN,800X600分辨率，8.4寸，600亮度全透，LVDS工业TFT,8.4,800X600,LED,Transmissive,LVDS,600,750:01:00,-30 to 80,-30 to 80,"LED, Advanced-Wide-View, Built-in LED Driver, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=T-55786GD084J-LW-AGN,390,199.5 (W)  x 149.0 (H)  x 11.5 (D) ,Advanced Wide View Technology (85/85/85/85),Long LED lifetime (75K hrs) and Built-in LED driver 
64,TFT Digital,TCG085WVLQDPNN-GN00,800X480分辨率，8.5寸，400亮度全透，18位RGB工业TFT,8.5,800X480,LED,Transmissive,18-bit RGB Interface,400,500:01:00,-20 to 70,-30 to 80,"LED, Advanced-Wide-View, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG085WVLQDPNN-GN00,310,210 (W)  x 134 (H)  x 8.7 (D) ,Advanced Wide View Technology (85/85/85/85),
65,TFT Digital,TCG085WVLCB-G00,800X480分辨率，8.5寸，400亮度全透，18位RGB工业TFT,8.5,800X480,LED,Transmissive,18-bit RGB Interface,400,500:01:00,-20 to 70,-30 to 80,"LED, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG085WVLCB-G00,,210 (W)  x 134 (H)  x 8.5 (D) ,,
66,TFT Digital,TCG085WVLBK-G00,800X480分辨率，8.5寸，400亮度全透，CMOS工业TFT,8.5,800X480,LED,Transmissive,CMOS,400,500:01:00,-20 to 70,-30 to 80,"LED, 4-wire resistive TTS, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG085WVLBK-G00,,210.7 (W)  x 131.3 (H)  x 14.0 (D) ,4-wire resisitive touch screen,
67,TFT Digital,TCG101WXLPAANN-AN20,1280X800分辨率，10.1寸，500亮度全透，LVDS工业TFT,10.1,1280X800,LED,Transmissive,LVDS,500,800:01:00,-20 to 70,-30 to 80,"LED, Built-in LED Driver, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG101WXLPAANN-AN20,,236  (W)  x 156.8 (H)  x 9.4 (D) ,Wide Viewing Angle (80/80/80/80),Built-in LED driver
68,TFT Digital,TCG101WXLPAAFA-AA20,1280X800分辨率，10.1寸，400亮度全透，LVDS工业TFT,10.1,1280X800,LED,Transmissive,LVDS,400,800:01:00,-20 to 70,-30 to 80,"LED, 4-wire resistive TTS, Built-in LED Driver, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG101WXLPAAFA-AA20,605,236 (W)  x 156.8 (H)  x 11.2 (D) ,Wide Format  Display,Constant Current Circuit for LED is built-in
69,TFT Digital,TCG104XGLPAPNN-AN40,1024X768分辨率，10.4寸，1300亮度全透，LVDS工业TFT,10.4,1024X768,LED,Transmissive,LVDS,1300,700:01:00,-30 to 80,-30 to 80,"LED, Super High Bright, Advanced-Wide-View, Built-in LED Driver, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG104XGLPAPNN-AN40,,230 (W)  x 180.2 (H)  x 10.5 (D) ,Advanced Wide View Technology (85/85/85/85),Super High Brightness for outdoor application (1300nits)
70,TFT Digital,TCG104XGLPAPNN-AN31,1024X768分辨率，10.4寸，600亮度全透，LVDS工业TFT,10.4,1024X768,LED,Transmissive,LVDS,600,700:01:00,-30 to 80,-30 to 80,"LED, Advanced-Wide-View, Built-in LED Driver, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG104XGLPAPNN-AN31,480,230 (W)  x 180.2 (H)  x 10.5 (D) ,AWV Technology for wide viewing angle (85/85/85/85),With constant current circuit for LED backlight
71,TFT Digital,TCG104XGLPAPNN-AN30,1024X768分辨率，10.4寸，600亮度全透，LVDS工业TFT,10.4,1024X768,LED,Transmissive,LVDS,600,700:01:00,-30 to 80,-30 to 80,"LED, Advanced-Wide-View, Built-in LED Driver, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG104XGLPAPNN-AN30,,230 (W)  x 180.2 (H)  x 10.5 (D) ,Advanced Wide Viewing Technology ( 85/85/85/85),Built-in LED driver
72,Automotive TFT,TCG104VGLPEANN-AN60,640X480分辨率，10.4寸，450亮度全透，LVDS工业TFT,10.4,640X480,LED,Transmissive,LVDS,450,500:01:00,-20 to 80,-30 to 80,"LED, Built-in LED Driver, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG104VGLPEANN-AN60,445,240.7 (W)  x 180.2 (H)  x 9 (D) ,With built-in LED driver Constant Current Circuit ( CCC),
73,TFT Digital,TCG104VGLABANN-AN50,640X480分辨率，10.4寸，800亮度全透，18位RGB工业TFT,10.4,640X480,LED,Transmissive,18-bit RGB Interface,800,500:01:00,-20 to 70,-30 to 80,"High Bright, LED, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG104VGLABANN-AN50,470,240.7 (W)  x 180.2 (H)  x 9 (D) ,,
74,TFT Digital,TCG104VGLABANN-AN30,640X480分辨率，10.4寸，800亮度全透，CMOS工业TFT,10.4,640X480,LED,Transmissive,CMOS,800,500:01:00,-20 to 70,-30 to 80,"LED, Built-in LED Driver, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG104VGLABANN-AN30,470,240.7 (W)  x 180.2 (H)  x 9 (D) ,High Brightness,LED driver built-in
75,TFT Digital,TCG104VGLAAANN-AN20,640X480分辨率，10.4寸，400亮度全透，18位RGB工业TFT,10.4,640X480,LED,Transmissive,18-bit RGB Interface,400,500:01:00,-20 to 70,-30 to 80,"LED, Built-in LED Driver, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG104VGLAAANN-AN20,455,240.7 (W)  x 180.2 (H)  x 9 (D) ,LED driver built-in,70K hour lifetime LED backlight
76,TFT Digital,TCG104VGLAAANN-AN00,640X480分辨率，10.4寸，400亮度全透，18位RGB工业TFT,10.4,640X480,LED,Transmissive,18-bit RGB Interface,400,500:01:00,-20 to 70,-30 to 80,"LED, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG104VGLAAANN-AN00,455,240.7 (W)  x 180.2 (H)  x 9 (D) ,,
77,TFT Digital,TCG104VGLAAAFA-AA20,640X480分辨率，10.4寸，320亮度全透，CMOS工业TFT,10.4,640X480,LED,Transmissive,CMOS,320,500:01:00,-20 to 70,-30 to 80,"LED, 4-wire resistive TTS, Built-in LED Driver, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG104VGLAAAFA-AA20,580,240.7 (W)  x 180.2 (H)  x 10.8 (D) ,4-wire resistive touch screen ,Constant Current Circuit for LED backlight
78,TFT Digital,TCG104VGLAAAFA-AA00,640X480分辨率，10.4寸，320亮度全透，CMOS工业TFT,10.4,640X480,LED,Transmissive,CMOS,320,500:01:00,-20 to 70,-30 to 80,"LED, 4-wire resistive TTS, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG104VGLAAAFA-AA00,580,240.7 (W)  x 180.2 (H)  x 10.8 (D) ,With 4-wire resistive touch screen,
79,TFT Digital,TCG104SVLQAPNN-AN20,800X600分辨率，10.4寸，400亮度全透，LVDS工业TFT,10.4,800X600,LED,Transmissive,LVDS,400,500:01:00,-20 to 70,-30 to 80,"LED, Advanced-Wide-View, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG104SVLQAPNN-AN20,470,240.7 (W)  x 180.2 (H)  x 9 (D) ,Advanced Wide View technology (85/85/85/85),Build in LED driver
80,TFT Digital,TCG104SVLQAPFA-AA20,800X600分辨率，10.4寸，320亮度全透，LVDS工业TFT,10.4,800X600,LED,Transmissive,LVDS,320,750:01:00,-20 to 70,-30 to 80,"LED, 4-wire resistive TTS, Advanced-Wide-View, Built-in LED Driver, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG104SVLQAPFA-AA20,595,240.7 (W)  x 180.2 (H)  x 10.8 (D) ,4-wire resistive,Advanced Wide View Technology ( 85/85/85/85)
81,TFT Digital,TCG104SVLPEANN-AN30,800X600分辨率，10.4寸，700亮度全透，LVDS工业TFT,10.4,800X600,LED,Transmissive,LVDS,700,900:01:00,-20 to 70,-30 to 80,"High Bright, LED, Built-in LED Driver, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG104SVLPEANN-AN30,475,240.7 (W)  x 180.2 (H)  x 9.0 (D) ,LED driver built-in,
82,TFT Digital,TCG104SVLPAANN-AN20,800X600分辨率，10.4寸，450亮度全透，LVDS工业TFT,10.4,800X600,LED,Transmissive,LVDS,450,900:01:00,-20 to 70,-30 to 80,"LED, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG104SVLPAANN-AN20,460,240.7 (W)  x 180.2 (H)  x 9 (D) ,,
83,TFT Digital,TCG104SVLPAAFA-AA20,800X600分辨率，10.4寸，360亮度全透，LVDS工业TFT,10.4,800X600,LED,Transmissive,LVDS,360,500:01:00,-20 to 70,-30 to 80,"LED, 4-wire resistive TTS, Built-in LED Driver, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG104SVLPAAFA-AA20,585,240.7 (W)  x 180.2 (H)  x 10.8 (D) ,With 4-wire resistive touch screen,With constant current circuit for LED backlight
84,TFT Digital,T-55787GD104J-LW-AHN,800X600分辨率，10.4寸，1200高亮度全透，LVDS工业TFT,10.4,800X600,LED,Transmissive,LVDS,1200,750:01:00,-30 to 80,-30 to 80,"LED, Super High Bright, Advanced-Wide-View, Side Mount, Built-in LED Driver, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=T-55787GD104J-LW-AHN,,230 (W)  x 180.2 (H)  x 10.8 (D) ,Advacned Wide Viewing Technology (85/85/85/85),Super High Brightness for outdoor application (1200nits)
85,TFT Digital,T-55787GD104J-LW-AGN,800X600分辨率，10.4寸，700亮度全透，LVDS工业TFT,10.4,800X600,LED,Transmissive,LVDS,700,750:01:00,-30 to 80,-30 to 80,"LED, Advanced-Wide-View, Side Mount, Built-in LED Driver, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=T-55787GD104J-LW-AGN,535,230 (W)  x 180.2 (H)  x 10.8 (D) ,Advanced Wide Viewing Technology (85/85/85/85),Long LED lifetime (75K hrs) and Built-in LED driver
86,TFT Digital,TCG121XGLPBPNN-AN40,1024X768分辨率，12.1寸，1200高亮度全透，LVDS工业TFT,12.1,1024X768,LED,Transmissive,LVDS,1200,750:01:00,-30 to 80,-30 to 80,"LED, Super High Bright, Advanced-Wide-View, Built-in LED Driver, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG121XGLPBPNN-AN40,,260.5 (W)  x 203 (H)  x 10.2 (D) ,Advanced Wide View Technology (85/85/85/85),Super High Brightness for outdoor application ( 1200nits)
87,TFT Digital,TCG121XGLPAPNN-AN20,1024X768分辨率，12.1寸，400亮度全透，LVDS工业TFT,12.1,1024X768,LED,Transmissive,LVDS,400,750:01:00,-30 to 80,-30 to 80,"LED, Advanced-Wide-View, Built-in LED Driver, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG121XGLPAPNN-AN20,,260.5 (W)  x 203.4 (H)  x 10.3 (D) ,Advanced Wide View technology,
88,TFT Digital,TCG121WXLPAPNN-AN20,1280X800分辨率，12.1寸，500亮度全透，LVDS工业TFT,12.1,1280X800,LED,Transmissive,LVDS,500,750:01:00,-20 to 70,-30 to 80,"LED, Advanced-Wide-View, Built-in LED Driver, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG121WXLPAPNN-AN20,680,277.7 (W)  x 182.5 (H)  x 9.8 (D) ,Advanced Wide View (AWV) technology (85/85/85/85),Constant current circuit for LED backlight built-in
89,TFT Digital,TCG121SVLQEPNN-AN20,800X600分辨率，12.1寸，450亮度全透，LVDS工业TFT,12.1,800X600,LED,Transmissive,LVDS,450,650:01:00,-20 to 70,-30 to 80,"LED, Advanced-Wide-View, Side Mount, Built-in LED Driver, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG121SVLQEPNN-AN20,670,265 (W)  x 207.7 (H)  x 9.6 (D) ,Advanced Wide Viewing Technology (85/85/85/85),LED driver built-in
90,TFT Digital,TCG121SVLQAPNN-AN20,800X600分辨率，12.1寸，450亮度全透，LVDS工业TFT,12.1,800X600,LED,Transmissive,LVDS,450,650:01:00,-20 to 70,-20 to 70,"LED, Advanced-Wide-View, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG121SVLQAPNN-AN20,,278.3 (W)  x 207.5 (H)  x 9.5 (D) ,Advanced Wide View Technology (85/85/85/85),
91,TFT Digital,TCG121SVLQAPFA-AA20,800X600分辨率，12.1寸，360亮度全透，LVDS工业TFT,12.1,800X600,LED,Transmissive,LVDS,360,500:01:00,-20 to 70,-30 to 80,"LED, 4-wire resistive TTS, Advanced-Wide-View, Built-in LED Driver, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG121SVLQAPFA-AA20,670,278.3 (W)  x 207.5 (H)  x 12 (D) ,4-wire resistive touch screen,Advanced Wide View Technology ( 85/85/85/85)
92,TFT Digital,TCG121SVLPBANN-AN00,800X600分辨率，12.1寸，500亮度全透，CMOS工业TFT,12.1,800X600,LED,Transmissive,CMOS,500,1000:01:00,-20 to 70,-30 to 80,"LED, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG121SVLPBANN-AN00,645,278.3 (W)  x 207.5 (H)  x 9.5 (D) ,,
93,TFT Digital,TCG121SVLPBAFA-AA00,800X600分辨率，12.1寸，400亮度全透，CMOS工业TFT,12.1,800X600,LED,Transmissive,CMOS,400,1000:01:00,-20 to 70,-30 to 80,"LED, 4-wire resistive TTS, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG121SVLPBAFA-AA00,670,278.3 (W)  x 207.5 (H)  x 12 (D) ,4-wire resistive touch screen,
94,TFT Digital,TCG121SVLPAANN-AN20,800X600分辨率，12.1寸，500亮度全透，LVDS工业TFT,12.1,800X600,LED,Transmissive,LVDS,500,1000:01:00,-20 to 70,-30 to 80,"LED, Ultra-wide-view, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG121SVLPAANN-AN20,645,278.3 (W)  x 207.5 (H)  x 9.5 (D) ,,
95,TFT Digital,TCG121SVLPAANN-AN00,800X600分辨率，12.1寸，500亮度全透，LVDS工业TFT,12.1,800X600,LED,Transmissive,LVDS,500,1000:01:00,-20 to 70,-30 to 80,"LED, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG121SVLPAANN-AN00,645,278.3 (W)  x 207.5 (H)  x 9.5 (D) ,,
96,TFT Digital,TCG121SVLPAAFA-AA20,800X600分辨率，12.1寸，400亮度全透，LVDS工业TFT,12.1,800X600,LED,Transmissive,LVDS,400,1000:01:00,-20 to 70,-30 to 80,"LED, 4-wire resistive TTS, Built-in LED Driver, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG121SVLPAAFA-AA20,670,278.3 (W)  x 207.5 (H)  x 12 (D) ,4-wire resistive touchscreen,100K LED backlight lifetime 
97,TFT Digital,T-55788GD121J-LW-AHN,800X600分辨率，12.1寸，1200高亮度全透，LVDS工业TFT,12.1,800X600,LED,Transmissive,LVDS,1200,850:01:00,-30 to 80,-30 to 80,"LED, Super High Bright, Advanced-Wide-View, Side Mount, Built-in LED Driver, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=T-55788GD121J-LW-AHN,650,260.5 (W)  x 203.3 (H)  x 9.5 (D) ,Advanced Wide Viewing Technology (85/85/85/85),Super High Brightness for outdoor application (1200nits)
98,TFT Digital,T-55788GD121J-LW-AGN,800X600分辨率，12.1寸，600亮度全透，LVDS工业TFT,12.1,800X600,LED,Transmissive,LVDS,600,850:01:00,-30 to 80,-30 to 80,"LED, Advanced-Wide-View, Side Mount, Built-in LED Driver, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=T-55788GD121J-LW-AGN,650,260.5 (W)  x 203.3 (H)  x 10.6 (D) ,Advanced Wide Viewing Technology (85/85/85/85),Long LED lifetime (75K hrs) and Built-in LED driver
99,Automotive TFT,Automotive TFT 1.8-inch,480X240分辨率，1.8寸，全透，无背光车载显示器,1.8,480X240,No Backlight,Transmissive,,,1200:01:00,-30 to 85,,"Advanced-Wide-View, Auto TFT?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=Automotive%20TFT%201.8-inch,,,For Head-Up-Display ( HUD) Application,480 x 240 resolution with LTPS Technology
100,Automotive TFT,Automotive TFT 3.5-inch,320X240分辨率，3.5寸，500亮度全透，车载显示器,3.5,320X240,LED,Transmissive,,500,750:01:00,-30 to 85,,"LED, Auto TFT",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=Automotive%20TFT%203.5-inch,,,,
101,Automotive TFT,Automotive TFT 4.2-inch,272X480分辨率，4.2寸，全透，无背光车载显示器,4.2,272X480,No Backlight,Transmissive,,,1000:01:00,-30 to 85,,"Advanced-Wide-View, Auto TFT?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=Automotive%20TFT%204.2-inch,,,,
102,Automotive TFT,Automotive TFT 5.0-inch,480X272分辨率，全透，无背光车载显示器,,480X272,No Backlight,Transmissive,,,1000:01:00,-30 to 85,,Auto TFT ?,http://www.kyocera-display.com/products/partdetail.asp?PartNumber=Automotive%20TFT%205.0-inch,,,,
103,Automotive TFT,Automotive TFT 5.7-inch,640X160分辨率，5.7寸，全透，车载显示器,5.7,640X160,,Transmissive,,,1000:01:00,-30 to 85,,"Advanced-Wide-View, Auto TFT ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=Automotive%20TFT%205.7-inch,,,,
104,Automotive TFT,Automotive TFT 7.0-inch,800X480分辨率，7寸，全透，车载显示器,7,800X480,,Transmissive,,,,,,Auto TFT?,http://www.kyocera-display.com/products/partdetail.asp?PartNumber=Automotive%20TFT%207.0-inch,,,,
105,Automotive TFT,Automotive TFT 8.0-inch,800X480分辨率，8寸，750亮度全透，车载显示器,8,800X480,LED,Transmissive,,750,500:01:00,-30 to 85,,Auto TFT ?,http://www.kyocera-display.com/products/partdetail.asp?PartNumber=Automotive%20TFT%208.0-inch,,,,
106,Automotive TFT,Automotive TFT 8.8-inch,640X240分辨率，8.8寸，车载显示器,8.8,640X240,,,,,,-40 to 85,-40 to 85,"LED, Auto TFT",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=Automotive%20TFT%208.8-inch,,,,
107,Monochrome-Character,DMC-16230NY-LY-EEE-EGN,16X2分辨率，全透，黄绿色液晶显示屏,,16X2,黄绿色LED,Transmissive,8-bit parallel,60 at backlight surface,12:01,0 to 50,-20 to 70,,http://www.kyocera-display.com/products/partdetail.asp?PartNumber=DMC-16230NY-LY-EEE-EGN,75,122.0 (W)  x 44.0 (H)  x 14.6 (D) ,STN Yellow-mode,This part will be EOL. The LTB date is 5/14/2017.
108,Monochrome-Character,DMC-16230NY-LY-EDE-EFN,16X2分辨率，全透，黄绿色液晶显示屏,,16X2,黄绿色LED,Transmissive,8-bit parallel,70 at backlight surface,8:01,0 to 50,-20 to 70,,http://www.kyocera-display.com/products/partdetail.asp?PartNumber=DMC-16230NY-LY-EDE-EFN,75,122.0 (W)  x 44.0 (H)  x 14.6 (D) ,STN Yellow-mode,This part will be EOL. The LTB date is 5/14/2017.
109,Monochrome-Character,DMC-16202NY-LY-BJE-BLN,16X2分辨率，2.5寸，全透，黄色液晶显示屏,2.5,16X2,黄色LED,Transmissive,8-bit parallel,55 at backlight surface,10:01,0 to 50,-20 to 70,,http://www.kyocera-display.com/products/partdetail.asp?PartNumber=DMC-16202NY-LY-BJE-BLN,30,84.0 (W)  x 45.0 (H)  x 15.1 (D) ,STN Yellow-mode,This part will be EOL. The LTB date is 5/14/2017.
110,Monochrome-Character,DMC-20261NYJ-LY-CKE-CNN,20X2分辨率，3寸，全透，黄绿色液晶显示屏,3,20X2,黄绿色LED,Transmissive,8-bit parallel,40 at backlight surface,5:01,-20 to 70,-20 to 70,,http://www.kyocera-display.com/products/partdetail.asp?PartNumber=DMC-20261NYJ-LY-CKE-CNN,90,116.0 (W)  x 37.0 (H)  x 15.7 (D) ,This part will be EOL. The LTB date is 5/14/2017.,
111,Monochrome-Character,DMC-20261NY-LY-CME-CPN,20X2分辨率，3寸，全透，黄绿色液晶显示屏,3,20X2,黄绿色LED,Transmissive,8-bit parallel,40 at backlight surface,12:01,0 to 50,-20 to 70,,http://www.kyocera-display.com/products/partdetail.asp?PartNumber=DMC-20261NY-LY-CME-CPN,90,116.0 (W)  x 37.0 (H)  x 15.7 (D) ,This part will be EOL. The LTB date is 5/14/2017.,
112,Monochrome-Character,C-51505NFQJ-LW-ALN,20X2分辨率，3.3寸，全透，白色液晶显示屏,3.3,20X2,白色LED,Transmissive,8-bit parallel,125 at backlight surface,80:01:00,-20 to 70,-20 to 70,,http://www.kyocera-display.com/products/partdetail.asp?PartNumber=C-51505NFQJ-LW-ALN,42.9,116.0 (W)  x 37.0 (H)  x 15.6 (D) ,20 x 2: White Characters on a black background,White LED Backlighting
