D5FY4R5ST,45,5,240,0.74,5,15[μA],45,SMD,TO-277A,6.6x4.5x1.1,1
D10FY4R5ST,45,10,250,0.74,10,30[μA],45,SMD,TO-277A,6.6x4.5x1.1,1
D15FY4R5ST,45,15,270,0.74,15,40[μA],45,SMD,TO-277A,6.6x4.5x1.1,1
D5FY6ST,60,5,210,0.78,5,15[μA],60,SMD,TO-277A,6.6x4.5x1.1,1
D10FY6ST,60,10,230,0.78,10,30[μA],60,SMD,TO-277A,6.6x4.5x1.1,1
D15FY6ST,60,15,250,0.78,15,40[μA],60,SMD,TO-277A,6.6x4.5x1.1,1
D5FY10ST,100,5,210,0.86,5,15[μA],100,SMD,TO-277A,6.6x4.5x1.1,1
D10FY10ST,100,10,230,0.86,10,30[μA],100,SMD,TO-277A,6.6x4.5x1.1,1
D15FY10ST,100,15,250,0.86,15,40[μA],100,SMD,TO-277A,6.6x4.5x1.1,1
D5FY15ST,150,5,210,0.88,5,15[μA],150,SMD,TO-277A,6.6x4.5x1.1,1
D10FY15ST,150,10,230,0.88,10,30[μA],150,SMD,TO-277A,6.6x4.5x1.1,1
D15FY15ST,150,15,230,0.88,15,40[μA],150,SMD,TO-277A,6.6x4.5x1.1,1
D15FR4ST,40,15,300,0.74,15,40(μA),40,SMD,FR,7.0x6.6x2.3,1
D20FR4ST,40,20,400,0.74,20,60[μA],40,SMD,FR,7.0x6.6x2.3,1
D6FEC4ST,40,6,90,0.74,3,8[μA],40,SMD,FE,9.5×6.6×2.65,1
D1FT4A,40,3,90,0.74,3,8[μA],40,SMD,1F,5.0×2.5×2.0,1
D1FT6A,60,3,90,0.78,3,8[μA],60,SMD,1F,5.0×2.5×2.0,1
D1FT4,40,2,60,0.74,2,5[μA],40,SMD,1F,5.0×2.5×2.0,1
D1FT10,100,2,50,0.86,2,5[μA],100,SMD,1F,5.0×2.5×2.0,1
D1FT15A,150,3,60,0.78,1,8[μA],150,SMD,1F,5.0×2.5×2.0,1
S40T15V,150,40,700,0.92,40,0.12,150,THD,MTO-3PV,41.0×16.0×5.0,1
D10FDC10ST,100,10,150,0.86,5,15[μA],100,SMD,FD,13.2×10.2×4.6,1
D20FDC10ST,100,20,250,0.86,10,30[μA],100,SMD,FD,13.2×10.2×4.6,1
D20FDC15ST,150,20,250,0.88,10,30[μA],150,SMD,FD,13.2×10.2×4.6,1
D30FDC4S,40,30,300,0.55,15,1.5,40,SMD,FD,13.2×10.2×4.6,1
D30FDC10ST,100,30,300,0.86,15,40[μA],100,SMD,FD,13.2×10.2×4.6,1
D30FDC15ST,150,30,300,0.88,15,40[μA],150,SMD,FD,13.2×10.2×4.6,1
D40FDC10ST,100,40,400,0.86,20,60[μA],100,SMD,FD,13.2×10.2×4.6,1
D40FDC15ST,150,40,400,0.88,20,60[μA],150,SMD,FD,13.2×10.2×4.6,1
D1FT6,60,2,60,0.78,2,5[μA],60,SMD,1F,5.0×2.5×2.0,1
DG1M3,30,1,20,0.46,0.7,50[μA],30,SMD,G1F,3.5×1.6×0.8,1
DG1H3,30,1,20,0.36,0.7,1,30,SMD,G1F,3.5×1.6×0.8,1
DG1S4,40,1,30,0.55,0.7,0.8,40,SMD,G1F,3.5×1.6×0.8,1
DG1S6,60,1,30,0.58,0.7,1,60,SMD,G1F,3.5×1.6×0.8,1
DG1J10A,100,1,30,0.82,1,0.1,100,SMD,G1F,3.5×1.6×0.8,1
DG1N15A,150,1.4,30,0.88,1.4,50[μA],150,SMD,G1F,3.5×1.6×0.8,1
DG1M3A,30,1.5,30,0.46,1.5,50[μA],30,SMD,G1F,3.5×1.6×0.8,1
DG1H3A,30,1.5,30,0.36,1.5,1,30,SMD,G1F,3.5×1.6×0.8,1
DG1S6A,60,1.5,40,0.53,1,50[μA],60,SMD,G1F,3.5×1.6×0.8,1
M1FS6,60,1.2,40,0.58,1.1,1,60,SMD,M1F,3.9×1.8×1.4,1
M1FP3,30,1.29,30,0.4,1.1,2.5,30,SMD,M1F,3.9×1.8×1.4,1
M1FS4,40,1.33,30,0.55,1.1,0.8,40,SMD,M1F,3.9×1.8×1.4,1
M1FH3,30,1.5,30,0.36,1.5,1,30,SMD,M1F,3.9×1.8×1.4,1
M1FJ4,40,1.5,30,0.57,1,50[μA],40,SMD,M1F,3.9×1.8×1.4,1
M1FM3,30,3,30,0.46,1.5,50[μA],30,SMD,M1F,3.9×1.8×1.4,1
D1FJ10,100,1,50,0.72,1,0.2,100,SMD,1F,5.0×2.5×2.0,1
D1FS4,40,1.1,30,0.55,1.1,1,40,SMD,1F,5.0×2.5×2.0,1
D1FS6,60,1.1,40,0.58,1.1,1,60,SMD,1F,5.0×2.5×2.0,1
D1FS4A,40,1.5,60,0.45,1.1,2,40,SMD,1F,5.0×2.5×2.0,1
D1FP3,30,2,60,0.4,2,4.5,30,SMD,1F,5.0×2.5×2.0,1
D1FJ4,40,2,50,0.57,1.5,0.2,40,SMD,1F,5.0×2.5×2.0,1
D1FJ8,80,2,30,0.74,1.5,0.2,80,SMD,1F,5.0×2.5×2.0,1
D1FS6A,60,2.5,60,0.57,2.5,0.2,60,SMD,1F,5.0×2.5×2.0,1
D1FH3,30,3,60,0.36,3,2,30,SMD,1F,5.0×2.5×2.0,1
D1FJ8A,80,3,30,0.74,3,0.4,80,SMD,1F,5.0×2.5×2.0,1
D1FT10A,100,3,60,0.75,1,8[μA],100,SMD,1F,5.0×2.5×2.0,1
D1FM3,30,5,90,0.46,3,0.1,30,SMD,1F,5.0×2.5×2.0,1
