最大整流电流5A，反向工作电压45V，一款SMD封装的肖特基二极管
最大整流电流10A，反向工作电压45V，一款SMD封装的肖特基二极管
最大整流电流15A，反向工作电压45V，一款SMD封装的肖特基二极管
最大整流电流5A，反向工作电压60V，一款SMD封装的肖特基二极管
最大整流电流10A，反向工作电压60V，一款SMD封装的肖特基二极管
最大整流电流15A，反向工作电压60V，一款SMD封装的肖特基二极管
最大整流电流5A，反向工作电压100V，一款SMD封装的肖特基二极管
最大整流电流10A，反向工作电压100V，一款SMD封装的肖特基二极管
最大整流电流15A，反向工作电压100V，一款SMD封装的肖特基二极管
最大整流电流5A，反向工作电压150V，一款SMD封装的肖特基二极管
最大整流电流10A，反向工作电压150V，一款SMD封装的肖特基二极管
最大整流电流15A，反向工作电压150V，一款SMD封装的肖特基二极管
最大整流电流15A，反向工作电压40V，一款SMD封装的肖特基二极管
最大整流电流20A，反向工作电压40V，一款SMD封装的肖特基二极管
最大整流电流6A，反向工作电压40V，一款SMD封装的肖特基二极管
最大整流电流3A，反向工作电压40V，一款SMD封装的肖特基二极管
最大整流电流3A，反向工作电压60V，一款SMD封装的肖特基二极管
最大整流电流2A，反向工作电压40V，一款SMD封装的肖特基二极管
最大整流电流2A，反向工作电压100V，一款SMD封装的肖特基二极管
最大整流电流3A，反向工作电压150V，一款SMD封装的肖特基二极管
最大整流电流40A，反向工作电压150V，一款THD封装的肖特基二极管
最大整流电流10A，反向工作电压100V，一款SMD封装的肖特基二极管
最大整流电流20A，反向工作电压100V，一款SMD封装的肖特基二极管
最大整流电流20A，反向工作电压150V，一款SMD封装的肖特基二极管
最大整流电流30A，反向工作电压40V，一款SMD封装的肖特基二极管
最大整流电流30A，反向工作电压100V，一款SMD封装的肖特基二极管
最大整流电流30A，反向工作电压150V，一款SMD封装的肖特基二极管
最大整流电流40A，反向工作电压100V，一款SMD封装的肖特基二极管
最大整流电流40A，反向工作电压150V，一款SMD封装的肖特基二极管
最大整流电流2A，反向工作电压60V，一款SMD封装的肖特基二极管
最大整流电流1A，反向工作电压30V，一款SMD封装的肖特基二极管
最大整流电流1A，反向工作电压30V，一款SMD封装的肖特基二极管
最大整流电流1A，反向工作电压40V，一款SMD封装的肖特基二极管
最大整流电流1A，反向工作电压60V，一款SMD封装的肖特基二极管
最大整流电流1A，反向工作电压100V，一款SMD封装的肖特基二极管
最大整流电流1.4A，反向工作电压150V，一款SMD封装的肖特基二极管
最大整流电流1.5A，反向工作电压30V，一款SMD封装的肖特基二极管
最大整流电流1.5A，反向工作电压30V，一款SMD封装的肖特基二极管
最大整流电流1.5A，反向工作电压60V，一款SMD封装的肖特基二极管
最大整流电流1.2A，反向工作电压60V，一款SMD封装的肖特基二极管
最大整流电流1.29A，反向工作电压30V，一款SMD封装的肖特基二极管
最大整流电流1.33A，反向工作电压40V，一款SMD封装的肖特基二极管
最大整流电流1.5A，反向工作电压30V，一款SMD封装的肖特基二极管
最大整流电流1.5A，反向工作电压40V，一款SMD封装的肖特基二极管
最大整流电流3A，反向工作电压30V，一款SMD封装的肖特基二极管
最大整流电流1A，反向工作电压100V，一款SMD封装的肖特基二极管
最大整流电流1.1A，反向工作电压40V，一款SMD封装的肖特基二极管
最大整流电流1.1A，反向工作电压60V，一款SMD封装的肖特基二极管
最大整流电流1.5A，反向工作电压40V，一款SMD封装的肖特基二极管
最大整流电流2A，反向工作电压30V，一款SMD封装的肖特基二极管
最大整流电流2A，反向工作电压40V，一款SMD封装的肖特基二极管
