,市场可交易,平均价格,最低价格
292,-1,-1,-1
293,-1,-1,-1
294,-1,-1,-1
295,-1,-1,-1
296,-1,-1,-1
297,0,0,0
298,-1,-1,-1
299,-1,-1,-1
300,1,0.22,0.28
301,0,0,0
302,-1,-1,-1
303,-1,-1,-1
304,-1,-1,-1
305,-1,-1,-1
306,-1,-1,-1
307,0,0,0
308,-1,-1,-1
309,-1,-1,-1
310,1,0.09,0.1
311,-1,-1,-1
312,-1,-1,-1
313,-1,-1,-1
314,-1,-1,-1
315,-1,-1,-1
316,-1,-1,-1
317,1,0.35,0.35
318,-1,-1,-1
319,0,0,0
320,-1,-1,-1
321,-1,-1,-1
322,-1,-1,-1
323,-1,-1,-1
324,1,0.26,0.2
325,-1,-1,-1
326,-1,-1,-1
327,0,0,0
328,-1,-1,-1
329,-1,-1,-1
330,-1,-1,-1
331,-1,-1,-1
332,-1,-1,-1
333,0,0,0
334,1,0.47,0.47
335,-1,-1,-1
336,1,2.32,2.31
337,1,0.47,0.47
338,0,0,0
339,-1,-1,-1
340,-1,-1,-1
341,-1,-1,-1
342,1,1.57,1.84
343,1,1,0.99
344,0,0,0
345,1,666,9.58
346,1,8.31,8.52
347,1,1.92,1.98
348,-1,-1,-1
349,-1,-1,-1
350,-1,-1,-1
351,-1,-1,-1
352,-1,-1,-1
353,-1,-1,-1
354,1,0.13,0.13
355,-1,-1,-1
356,-1,-1,-1
357,-1,-1,-1
358,-1,-1,-1
359,0,0,0
360,1,0.1,0.1
361,1,13.12,11.77
362,0,0,0
363,-1,-1,-1
364,-1,-1,-1
365,-1,-1,-1
366,-1,-1,-1
367,-1,-1,-1
368,-1,-1,-1
369,1,0.49,0.52
370,-1,-1,-1
371,1,0.27,0.26
372,-1,-1,-1
373,-1,-1,-1
374,-1,-1,-1
375,-1,-1,-1
376,1,0.16,0.17
377,-1,-1,-1
378,-1,-1,-1
379,-1,-1,-1
380,-1,-1,-1
381,-1,-1,-1
382,1,0.13,0.15
383,-1,-1,-1
384,-1,-1,-1
385,-1,-1,-1
386,-1,-1,-1
387,-1,-1,-1
388,-1,-1,-1
389,1,666,37.89
390,1,666,144.56
391,1,2.07,2.03
392,1,1.89,1.99
393,0,0,0
394,1,666,201.71
395,-1,-1,-1
396,0,0,0
397,-1,-1,-1
398,-1,-1,-1
399,-1,-1,-1
400,-1,-1,-1
401,1,666,"1,132.58"
402,-1,-1,-1
403,-1,-1,-1
404,1,0.04,0.05
405,0,0,0
406,-1,-1,-1
407,-1,-1,-1
408,-1,-1,-1
409,0,0,0
410,1,0.11,0.12
411,1,0.06,0.08
412,1,13.32,13.49
413,-1,-1,-1
414,-1,-1,-1
415,-1,-1,-1
416,-1,-1,-1
417,0,0,0
418,-1,-1,-1
419,-1,-1,-1
420,-1,-1,-1
421,0,0,0
422,-1,-1,-1
423,-1,-1,-1
424,-1,-1,-1
425,1,19.99,17.39
426,1,6.86,6.85
427,1,666,666
428,0,0,0
429,-1,-1,-1
430,1,666,40.62
431,1,0.45,0.36
432,1,3.25,3.26
433,1,8.01,8.25
434,1,0.18,0.23
435,1,0.37,0.36
436,-1,-1,-1
437,1,1.22,1.33
438,-1,-1,-1
439,1,666,103.17
440,0,0,0
441,-1,-1,-1
442,-1,-1,-1
443,-1,-1,-1
444,0,0,0
445,-1,-1,-1
446,-1,-1,-1
447,0,0,0
448,1,0.03,0.04
449,-1,-1,-1
450,-1,-1,-1
451,-1,-1,-1
452,-1,-1,-1
453,-1,-1,-1
454,-1,-1,-1
455,0,0,0
456,1,666,460
457,-1,-1,-1
458,-1,-1,-1
459,-1,-1,-1
460,-1,-1,-1
461,1,666,294.95
462,-1,-1,-1
463,-1,-1,-1
464,-1,-1,-1
465,0,0,0
466,-1,-1,-1
467,-1,-1,-1
468,-1,-1,-1
469,-1,-1,-1
470,-1,-1,-1
471,-1,-1,-1
472,-1,-1,-1
473,1,666,224.49
474,0,0,0
475,-1,-1,-1
476,-1,-1,-1
477,-1,-1,-1
478,-1,-1,-1
479,-1,-1,-1
480,-1,-1,-1
481,-1,-1,-1
482,-1,-1,-1
483,0,0,0
484,-1,-1,-1
485,1,0.08,0.09
486,1,666,70.65
487,1,0.02,0.04
488,-1,-1,-1
489,-1,-1,-1
490,-1,-1,-1
491,-1,-1,-1
492,-1,-1,-1
493,-1,-1,-1
494,-1,-1,-1
495,-1,-1,-1
496,-1,-1,-1
497,1,666,70.65
498,0,0,0
499,1,0.56,0.55
500,-1,-1,-1
501,-1,-1,-1
502,-1,-1,-1
503,-1,-1,-1
504,-1,-1,-1
505,-1,-1,-1
506,-1,-1,-1
507,-1,-1,-1
508,-1,-1,-1
509,1,666,70.65
510,-1,-1,-1
511,0,0,0
512,-1,-1,-1
513,-1,-1,-1
514,0,0,0
515,-1,-1,-1
516,-1,-1,-1
517,-1,-1,-1
518,-1,-1,-1
519,-1,-1,-1
520,-1,-1,-1
521,-1,-1,-1
522,1,666,96.53
523,-1,-1,-1
524,-1,-1,-1
525,1,0.64,0.65
526,1,1.63,1.69
527,1,13.13,12.88
528,1,1.06,0.99
529,0,0,0
530,1,6.79,6.63
531,1,0.54,0.51
532,1,0.42,0.39
533,0,0,0
534,0,0,0
535,1,1.06,1.06
536,1,3.27,3.33
537,1,0.02,0.05
538,0,0,0
539,1,5.75,5.91
540,1,11.29,10.36
541,-1,-1,-1
542,-1,-1,-1
543,1,0.12,0.13
544,-1,-1,-1
545,-1,-1,-1
546,-1,-1,-1
547,-1,-1,-1
548,-1,-1,-1
549,-1,-1,-1
550,-1,-1,-1
551,1,0.23,0.2
552,-1,-1,-1
553,1,0.03,0.04
554,-1,-1,-1
555,-1,-1,-1
556,-1,-1,-1
557,-1,-1,-1
558,-1,-1,-1
559,-1,-1,-1
560,1,666,666
561,-1,-1,-1
562,1,0.84,0.72
563,-1,-1,-1
564,-1,-1,-1
565,0,0,0
566,-1,-1,-1
567,-1,-1,-1
568,1,666,7.89
569,-1,-1,-1
570,-1,-1,-1
571,0,0,0
572,0,0,0
573,-1,-1,-1
574,-1,-1,-1
575,-1,-1,-1
576,-1,-1,-1
577,-1,-1,-1
578,-1,-1,-1
579,-1,-1,-1
580,-1,-1,-1
581,1,25.98,28.32
582,-1,-1,-1
583,1,666,"1,090.22"
584,1,0.51,0.51
585,1,666,666
586,-1,-1,-1
587,-1,-1,-1
588,-1,-1,-1
589,-1,-1,-1
590,-1,-1,-1
591,-1,-1,-1
592,-1,-1,-1
593,-1,-1,-1
594,1,6.93,8.67
595,-1,-1,-1
596,0,0,0
597,-1,-1,-1
598,-1,-1,-1
599,1,0.03,0.04
600,-1,-1,-1
601,-1,-1,-1
602,-1,-1,-1
603,-1,-1,-1
604,-1,-1,-1
605,1,2.14,2.08
606,1,0.98,1.01
607,1,666,52.16
608,1,666,700.99
609,1,8.74,8.85
610,1,3.28,3.25
611,0,0,0
612,1,666,45.77
613,1,1.78,1.52
614,1,2.56,2.57
615,-1,-1,-1
616,-1,-1,-1
617,-1,-1,-1
618,-1,-1,-1
619,-1,-1,-1
620,-1,-1,-1
621,1,666,368.99
622,-1,-1,-1
623,-1,-1,-1
624,-1,-1,-1
625,-1,-1,-1
626,-1,-1,-1
627,-1,-1,-1
628,-1,-1,-1
629,-1,-1,-1
630,1,666,"6,655.05"
631,1,666,75.87
632,-1,-1,-1
633,-1,-1,-1
634,-1,-1,-1
635,-1,-1,-1
636,-1,-1,-1
637,1,666,137.92
638,-1,-1,-1
639,-1,-1,-1
640,-1,-1,-1
641,-1,-1,-1
642,-1,-1,-1
643,-1,-1,-1
644,-1,-1,-1
645,-1,-1,-1
646,-1,-1,-1
647,-1,-1,-1
648,-1,-1,-1
649,-1,-1,-1
650,-1,-1,-1
651,-1,-1,-1
652,1,17.93,18.11
653,-1,-1,-1
654,-1,-1,-1
655,-1,-1,-1
656,-1,-1,-1
657,-1,-1,-1
658,-1,-1,-1
659,-1,-1,-1
660,-1,-1,-1
661,-1,-1,-1
662,-1,-1,-1
663,-1,-1,-1
664,-1,-1,-1
665,-1,-1,-1
666,1,1.43,1.42
667,1,666,666
668,1,173.67,173.74
669,0,0,0
670,1,1.18,1.32
671,0,0,0
672,1,0.41,0.39
673,1,666,57.5
674,1,3.54,3.7
675,1,0.89,0.88
676,1,0.48,0.52
677,1,0.3,0.35
678,-1,-1,-1
679,1,0.87,0.87
680,-1,-1,-1
681,-1,-1,-1
682,0,0,0
683,-1,-1,-1
684,-1,-1,-1
685,0,0,0
686,-1,-1,-1
687,0,0,0
688,1,17.26,17.3
689,-1,-1,-1
690,-1,-1,-1
691,0,0,0
692,1,33.69,31.2
693,1,0.03,0.04
694,0,0,0
695,-1,-1,-1
696,-1,-1,-1
697,-1,-1,-1
698,-1,-1,-1
699,-1,-1,-1
700,-1,-1,-1
701,1,1.69,1.63
702,1,8.77,7.65
703,0,0,0
704,-1,-1,-1
705,-1,-1,-1
706,-1,-1,-1
707,1,34.18,34.15
708,-1,-1,-1
709,-1,-1,-1
710,-1,-1,-1
711,-1,-1,-1
712,-1,-1,-1
713,-1,-1,-1
714,-1,-1,-1
715,0,0,0
716,-1,-1,-1
717,1,0.02,0.04
718,1,38.95,40.03
719,-1,-1,-1
720,1,0.48,0.48
721,-1,-1,-1
722,-1,-1,-1
723,-1,-1,-1
724,-1,-1,-1
725,1,0.67,0.66
726,-1,-1,-1
727,-1,-1,-1
728,-1,-1,-1
729,-1,-1,-1
730,-1,-1,-1
731,-1,-1,-1
732,1,0.4,0.38
733,-1,-1,-1
734,-1,-1,-1
735,-1,-1,-1
736,0,0,0
737,-1,-1,-1
738,0,0,0
739,1,24.81,23.54
740,-1,-1,-1
741,-1,-1,-1
742,-1,-1,-1
743,0,0,0
744,-1,-1,-1
745,1,0.22,0.23
746,-1,-1,-1
747,-1,-1,-1
748,-1,-1,-1
749,-1,-1,-1
750,-1,-1,-1
751,-1,-1,-1
752,-1,-1,-1
753,-1,-1,-1
754,-1,-1,-1
755,-1,-1,-1
756,-1,-1,-1
757,-1,-1,-1
758,-1,-1,-1
759,-1,-1,-1
760,0,0,0
761,-1,-1,-1
762,-1,-1,-1
763,-1,-1,-1
764,-1,-1,-1
765,-1,-1,-1
766,1,73.24,83.46
767,-1,-1,-1
